Sr_No,Startup_Name,Industry_Vertical,Sub_Vertical,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Date,Remarks
1637,Padhopadhao,"Consumer Internet","Home Tutors search & Discovery","New Delhi","Rise India","Private Equity",N/A,2016-06-23,nan
1638,Drivify,"Consumer Internet","Professional Driver discovery & Booking Mobile app",Mumbai,"Jitendra Gupta, Pankaj Tripathi","Seed Funding","50,000",2016-06-24,nan
1639,PratiLipi,"Consumer Internet","Multi-Lingual self-publishing platform",Bangalore,"Nexus Venture Partners","Seed Funding",N/A,2016-06-24,nan
1640,ParaBlu,Technology,"Cloud Data Security & Privacy Solutions",Bangalore,"Kalaari Capital","Seed Funding","5,00,000",2016-06-24,nan
1641,"Schedulers Logistics",Logistics,"Cold Storage Logistics solutions",Mumbai,GVFL,"Private Equity","60,00,000",2016-06-24,nan
1642,"LEAP India",Others,"Supply Chain Equipment & Services provider",Mumbai,"Mayfield Ventures","Private Equity","30,00,000",2016-06-24,nan
1643,KabadiExpress,Others,"Free Door Step Scrap Pickup Service","New Delhi","Undisclosed investor","Seed Funding","1,48,000",2016-06-24,nan
1644,YourDost,"Consumer Internet","Online counselling & Personal coaching platform",Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia","Seed Funding","12,00,000",2016-06-27,nan
1645,Gomalon,"Consumer Internet","Online Spa & Salon discovery & Booking platform",Bangalore,"Undisclosed investor","Seed Funding","1,00,000",2016-06-27,nan
1646,"Voler Cars","Consumer Internet","Self-Driven Car rental platform","New Delhi","Kanodia family, Amit Banka","Seed Funding",N/A,2016-06-27,nan
1647,Travelyaari,"Consumer Internet","Online ticket booking platform",Bangalore,"GVFL Ltd","Private Equity","30,00,000",2016-06-27,nan
1648,FabHotels,"Consumer Internet","Online Hotel aggregator & Booking platform",Gurgaon,"Accel Partners, RB Investments","Private Equity","80,00,000",2016-06-28,nan
1649,Locanix,Technology,"GPS based SaaS Solutions",Ahmedabad,"Undisclosed investors","Seed Funding","3,00,000",2016-06-28,nan
1650,LendingKart,"Consumer Internet","Online Working Capital Business Loans Platform",Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient","Private Equity","3,20,00,000",2016-06-28,nan
1651,"Hello Tax","Consumer Internet","Online Tax Filing Platform","New Delhi","Sanjeev Sinha","Seed Funding","2,95,000",2016-06-28,nan
1652,MySuperBrain,"Consumer Internet","Online Talent Discovery Platform for Kids",Hyderabad,"Soniks Consulting","Seed Funding",N/A,2016-06-28,nan
1653,BlogBeats,"Consumer Internet","Online Blogging Platform",Bangalore,"Undisclosed Investor","Seed Funding",N/A,2016-06-28,nan
1654,LetReach,eCommerce,"ECommerce SAAS Solutions","New Delhi",vCommission,"Private Equity","1,00,000",2016-06-29,nan
1655,TrendieApp,Technology,"Visual Content Marketing",Kolkata,"Harsh Vardhan Hada","Seed Funding","50,000",2016-06-29,nan
1656,ImpactGuru,"Consumer Internet","Crowdfunding Platform",Mumbai,"Piyush Jain","Seed Funding",N/A,2016-06-29,nan
1657,Velvetcase,eCommerce,"Online designer jewellery marketplace",Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar","Private Equity","15,00,000",2016-06-29,nan
1658,"Meru Cabs","Consumer Internet","Online/ Mobile Tax Cab booking",Mumbai,"Brand Capital","Private Equity","2,50,00,000",2016-06-30,nan
1659,"Campus Diaries","Consumer Internet","Student focussed Content Discovery portal",Bangalore,"Aarin Capital","Seed Funding","2,20,000",2016-06-30,nan
1660,Scripbox,"Consumer Internet","Online Mutual Fund Investment platform",Bangalore,"Omidyar Network, Accel Partners & existing investors","Private Equity",N/A,2016-06-30,nan
1661,"Biryani Blues","Food & Beverage","QSR Chain",Gurgaon,"Carpediem Capital & Others","Private Equity","3,68,000",2016-06-30,nan
1662,MotoMojo,"Consumer Internet","Mobile based Vehicle maintenance App",Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,","Seed Funding",N/A,2016-05-01,nan
1663,"Get My Parking",Technology,"Parking Technology Platform","New Delhi","The Chennai Angels","Seed Funding","3,76,000",2016-05-01,nan
1664,Prescribez,"Consumer Internet","Health Service Aggregator Platform",Pune,"Ankush Mehta","Seed Funding","1,45,000",2016-05-01,nan
1665,Airwood,Technology,"Agri Data & Analytics Platform",Chennai,"StartupXseed Ventures","Seed Funding",N/A,2016-05-02,nan
1666,Mobikwik,"Consumer Internet","Mobile & Digital Wallet",Gurgaon,"GMO Payment Gateway, MediaTek","Private Equity","5,00,00,000",2016-05-03,nan
1667,iDreamCareer,"Consumer Internet","Career Planning Services Portal","New Delhi","Brand Capital","Private Equity",N/A,2016-05-03,nan
1668,Zwayam,"Consumer Internet","Online Recruitment Platform",Bangalore,"Undisclosed investors","Seed Funding","2,50,000",2016-05-03,nan
1669,BoiBanit,"Consumer Internet","Online Food Delivery platform",Vadodara,"Undisclosed investors","Seed Funding",N/A,2016-05-03,nan
1670,Zuver,"Consumer Internet","Car driver Discovery App",Mumbai,"Shruth & Smith Group, Hermes Group","Seed Funding","1,80,000",2016-05-03,nan
1671,Prepathon,Education,"Competitive Exam learning platform",Mumbai,"Blume Ventures","Private Equity",N/A,2016-05-03,nan
1672,EasyRoads,"Consumer Internet","Road Trip planning Mobile app",Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia","Seed Funding","2,00,000",2016-05-04,nan
1673,Lenskart,eCommerce,"Eyewear & Accessories etailer","New Delhi","International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan","Private Equity","6,00,00,000",2016-05-04,nan
