Sr_No,Startup_Name,Industry_Vertical,Sub_Vertical,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Date,Remarks
191,"Biryani By Kilo","Consumer Internet","Online Food Delivery",Gurugram,"Ajay Relan and Vinay Mittal","Seed/ Angel Funding","10,00,000",2018-07-02,nan
192,Anchanto,IT,"E-commerce Fulfilment Platform",Pune,"MDI Ventures & Telkom Indonesia","Private Equity","40,00,000",2018-07-04,nan
193,"Loan Tap","Consumer Internet","Online Lending Platform For Salaried Professionals",Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital","Private Equity","62,50,000",2018-07-05,nan
194,PolicyBazaar,"Consumer Internet","Online Insurance Selling Platform",Gurugram,"Info Edge (India) Ltd and Temasek","Private Equity","2,77,00,000",2018-07-06,nan
195,zippserv,"Consumer Internet","Online Platform For Risk-Assessment Services For Real Estate Investments",Bengaluru,"Info Edge (India) Ltd","Seed/ Angel Funding","4,40,000",2018-07-09,nan
196,Groww,"Consumer Internet","Online Platform That Sells Direct Plans Of Mutual Funds",Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos","Seed/ Angel Funding","11,00,000",2018-07-09,nan
197,"Avenue Growth","Consumer Internet","Online Platform That Connects Brands With Freelance Sales Professionals",Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others","Seed/ Angel Funding","4,37,000",2018-07-10,nan
198,iNICU,Healthcare,"Med-tech Platform Providing Care For Newborns",Delhi,"Venture Catalysts","Seed/ Angel Funding",N/A,2018-07-10,nan
199,"Kinara Capital",Finance,"Lending Platform For Micro and Small Enterprises",Bengaluru,ResponsAbility,"Private Equity","50,00,000",2018-07-10,nan
200,"Shop 101","Consumer Internet","Mobile Storefront And Commerce Platform For Sellers",Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma","Private Equity","50,00,000",2018-07-10,nan
201,Sambandh,"Consumer Internet","Online Micro Lending Platform",Rourkela,"Base of Pyramid Asia (BOPA) Pte Ltd","Private Equity","25,00,000",2018-07-11,nan
202,"19th mile",IT,"Artificial intelligence-based sales acceleration software platform",Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others","Seed/ Angel Funding","1,80,000",2018-07-12,nan
203,"5th Vital",Healthcare,"Home diagnostics services provider",Bengaluru,"Brand Capital and Others","Seed/ Angel Funding","5,00,000",2018-07-12,nan
204,MEngage,Healthcare,"A Doctor-Patient Engagement Platform",Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.","Seed/ Angel Funding","1,75,000",2018-07-13,nan
205,Ofbusiness,Finance,"Online Lending Platform For SME",Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital","Private Equity","2,90,00,000",2018-07-17,nan
206,Cars24,"Consumer Internet","Online Used Car Marketplace",Gurugram,"Kingsway FCI Fund, KCK Global & Others","Private Equity","4,97,00,000",2018-07-17,nan
207,"The Ken","Consumer Internet","Subscription-Only News Website",Bengaluru,"Omidyar Network & Others","Seed/ Angel Funding","15,00,000",2018-07-18,nan
208,"Book My Show","Consumer Internet","Online Ticketing Platform",Mumbai,"TPG Growth, The Rise Fund & Others","Private Equity","10,00,00,000",2018-07-19,nan
209,HousingMan,"Consumer Internet","Property Discovery Platform",Bengaluru,N/A,"Seed/ Angel Funding","15,00,000",2018-07-20,nan
210,PaySense,"Consumer Internet","Online Consumer Lending Platform",Mumbai,"PayU & Others","Private Equity","1,80,00,000",2018-07-21,nan
211,"Yulu Bikes",Technology,"Bicycle-Sharing Platform",Bengaluru,N/A,"Seed/ Angel Funding",N/A,2018-07-23,nan
212,VTION,Technology,"Media Analytics",Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.","Seed/ Angel Funding","2,80,000",2018-07-23,nan
213,"Log9 Materials",Technology,"Nanotechnology Company Specializing In Graphene",Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others","Seed/ Angel Funding","4,36,000",2018-07-23,nan
214,kidovators,Ed-Tech,"Skill Learning Platform",Bengaluru,"Gray Matters","Seed/ Angel Funding","1,80,000",2018-07-24,nan
215,Digit,"Consumer Internet","Online Insurance Startup",Pune,Fairfax,"Private Equity","4,50,00,000",2018-07-24,nan
216,"Black Soil",Finance,"Non-Banking Financial Company",Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency","Private Equity","1,70,00,000",2018-07-25,nan
217,Trell,"Consumer Internet","Mobile-First Video Blogging App",Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures","Seed/ Angel Funding","12,50,000",2018-07-25,nan
218,iqlect,Technology,"Data Analytics Firm",Bengaluru,"Ventureast and Exfinity","Seed/ Angel Funding","25,00,000",2018-07-25,nan
219,Entropik,IT,"Software-As-A-Service Platform",Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others","Seed/ Angel Funding","11,00,000",2018-07-26,nan
220,"Bitla Software",Technology,"Travel-Focused Tech Startup",Bengaluru,MakeMyTrip,"Private Equity",N/A,2018-07-26,nan
221,TheCapitalNet,Fin-Tech,"Unified Global Investments Ecosystem",Hyderabad,"Lindwall Family Investments LLC (LFI)","Private Equity","5,00,000",2018-07-26,nan
222,Shuttl,"Consumer Internet","Bus Aggregation Platform",Gurugram,"Amazon Alexa Fund & Dentsu Ventures","Private Equity","1,10,00,000",2018-07-30,nan
223,"Cure Fit","Consumer Internet","Health and fitness Platform",Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others","Private Equity","12,00,00,000",2018-07-30,nan
224,"Five Star Group",Fin-Tech,"Non-Bank Lending Platform For SME",Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners","Private Equity","10,00,00,000",2018-07-31,nan
225,Healthsignz,Healthcare,"Health and Well being Platform",Hyderabad,"Kantilal Patel","Seed/ Angel Funding","50,00,000",2018-07-31,nan
226,CoinTribe,Finance,"Credit-Based Lending Marketplace For Small And Medium Enterprises",Gurugram,"Sabre Partners, Puneet Dalmia & Others","Private Equity","1,00,00,000",2018-06-01,nan
227,Digiconectt,Technology,"Sales Analytics and Enablement Platform",Bengaluru,"Aspire Logistics LLC","Seed/ Angel Funding","1,25,000",2018-06-04,nan
228,"Kashmir Box",E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem","Seed/ Angel Funding",N/A,2018-06-04,nan
229,Crowdera,Finance,"Online Crowdfunding Platform",Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.","Seed/ Angel Funding",N/A,2018-06-05,nan
230,Zoctr,Healthcare,"Online Healthcare Aggregator",Mumbai,"NB Ventures and Others","Seed/ Angel Funding",N/A,2018-06-05,nan
231,"Annapurna Finance",Finance,"Non-Banking Financial Company",Bhubneswar,"Oman India Joint Investment Fund (OIJIF)","Private Equity","2,30,00,000",2018-06-07,nan
232,Meesho,"Consumer Internet","Online Marketplace For Resellers",Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway","Private Equity",(,2018-06-07,nan
233,AyeFinance,Finance,"Online Lending Platform",Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures","Private Equity","2,15,00,000",2018-06-10,nan
234,Theranosis,Healthcare,"Specialised diagnostics Platform",Hyderabad,"Mumbai Angels Network","Seed/ Angel Funding",N/A,2018-06-11,nan
235,"Alpha Capital",Finance,"Supplychain Finance",Mumbai,"Alpha Capital","Private Equity","1,48,00,000",2018-06-12,nan
236,eshakti,E-Commerce,"Fashion e-tailer",Chennai,"Paragon Partners","Private Equity","1,01,00,000",2018-06-12,nan
237,"Daily Ninja","Consumer Internet","Hyperlocal Delivery Platform",Bengaluru,"Saama Capital and Sequoia Capital","Seed/ Angel Funding","30,00,000",2018-06-12,nan
238,NirogStreet,Healthcare,"An Online Platform That Connects Ayurveda Doctors With Patients",Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar","Seed/ Angel Funding","3,000,00",2018-06-13,nan
239,Nivesh,Finance,"Mass Market Mutual Fund Investment Platform",Noida,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George","Seed/ Angel Funding","4,50,000",2018-06-13,nan
240,"What\\xe2\\x80\\x99s Up Life","Consumer Internet","A Local Discovery App For Dining-Out, Party, Leisure and Events",Gurugram,"Rannvijay Singha","Seed/ Angel Funding",N/A,2018-06-13,nan
241,HomeLane,"Consumer Internet","Online Home Furnishing Solutions",Bengaluru,"Brand Capital","Seed/ Angel Funding","34,50,000",2018-06-14,nan
242,"Network Intelligence",Technology,"Cybersecurity Specialist",Mumbai,"Helix Investments","Private Equity","48,00,000",2018-06-14,nan
243,"Tynor Othontics",Healthcare,"Prosthetics Manufacturers",Chandigarh,"Lighthouse Funds & Thuasne Participations","Private Equity","2,10,00,000",2018-06-18,nan
244,Elucidata,IT,"Data Analytics (SaaS)","Delhi & Cambridge","Hyperplane Venture Capital and several angel investors","Seed/ Angel Funding","17,00,000",2018-06-18,nan
245,Chrysalis,Ed-Tech,"Education Services Provider",Pune,"Menterra Venture & Artha Initiatives","Seed/ Angel Funding",N/A,2018-06-19,nan
246,RentSher,"Consumer Internet","Online Rental Marketplace",Bengaluru,"Shorooq Investments, LetsVenture & Others","Seed/ Angel Funding","11,00,000",2018-06-19,nan
247,"Drip capital",Finance,"Trade Finance Firm",Mumbai,"Accel Partners, Sequoia India, Y Combinator and others.","Private Equity","1,50,00,000",2018-06-20,nan
248,WickedRide,"Consumer Internet","Online Motorbike And Scooter Rental Platforms",Bengaluru,"Sequoia Capital, Accel Partners & Raghunandan Gangappa","Private Equity","91,00,000",2018-06-22,nan
249,PolicyBazaar,"Consumer Internet","Online Insurance Selling Platform",Gurugram,"SoftBank Vision Fund & Info Edge (India) Ltd","Private Equity","20,00,00,000",2018-06-25,nan
250,HipBar,"Consumer Internet","Digital Payment Platform For Beverage Delivery",Bengaluru,"Diageo India","Private Equity","40,00,000",2018-06-25,nan
251,Sqqrl,Finance,"App-based investment platform",Gurugram,"Equanimity Venture Fund","Seed/ Angel Funding","10,00,000",2018-06-25,nan
252,Paytm,Technology,"Digital Payment Platform",Noida,"One 97 Communications","Private Equity","89,50,000",2018-06-26,nan
253,Sigtuple,Healthcare,"Data Driven Intelligence Solutions Platform",Bengaluru,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal","Private Equity","1,90,00,000",2018-06-26,nan
254,"Wow Express",Technology,"E-commerce Logistics Platform",Mumbai,"Undisclosed Existing Investors As Well As The Tamarind Family Trust","Private Equity","45,00,000",2018-06-27,nan
255,"Front Desk AI",Technology,"An AI Platform Offering Automated Customer Service Software",Bengaluru,"Speciale Invest & Others","Seed/ Angel Funding","11,00,000",2018-06-28,nan
256,Edureka,Ed-Tech,"Online Education Platform",Bengaluru,"Leo Capital","Seed/ Angel Funding","20,00,000",2018-06-28,nan
257,Numeroseven,Technology,"An Artificial Intelligence-Based Recruitment Platform",Kolkatta,"Shiva Gunapu & Others","Seed/ Angel Funding",N/A,2018-06-29,nan
258,OpenTap,Finance,"Online Lending Platform",Chennai,"Unknown High Net-Worth Individuals","Seed / Angel Funding","4,50,000",2018-05-02,nan
259,Bizongo,"Consumer Internet","Aggregator For Packaging Material",Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures","Private Equity","2,20,00,000",2018-05-02,nan
260,Disprz,IT,SaaS,Chennai,"IL&FS Private Equity, Kae Capital & Others","Seed / Angel Funding","25,00,000",2018-05-03,nan
261,PaisaDukan,"Consumer Internet","P2P Lending Platform",Mumbai,N/A,"Seed / Angel Funding","2,25,000",2018-05-07,nan
262,i3sysytems,Technology,"AI product company For Health and Life Insurane Companies",Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala","Seed / Angel Funding","10,00,000",2018-05-09,nan
263,"Earth Food","Consumer Internet",Agri-tech,Pune,"Rairah Corporation","Seed / Angel Funding","9,49,000",2018-05-11,nan
264,Nykaa,"Consumer Internet","Beauty e-tailer",Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others","Private Equity","2,40,00,000",2018-05-14,nan
265,mfine,Healthcare,"Doctor-Consultation App",Bengaluru,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal","Private Equity",4200000,2018-05-16,nan
266,Rocketium,Technology,"Online Video Creation Platform",Bengaluru,"Blume ventures","Seed/ Angel Funding","3,00,000",2018-05-21,nan
267,MilkBasket,Technology,"Micro-Delivery Grocery Startup",Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures","Private Equity","70,00,000",2018-05-21,nan
268,Vola,Finance,"Micro Lending Platform",Bengaluru,"Credika and unnamed angel investors","Seed/ Angel Funding","5,00,000",2018-05-22,nan
269,Cashkumar,"Consumer Internet","P2P Lending Platform",Bengaluru,LetsVenture,"Seed/ Angel Funding","7,35,000",2018-05-22,nan
270,Edyoo,E-Commerce,"Products For Shoolgoing Children",Bengaluru,"RS Shanbag","Seed/ Angel Funding","7,35,000",2018-05-23,nan
271,Aashiyaan,Finance,"Housing Finance For Low-Income Families",Kolkata,"Insistor, Oikocredit","Seed/ Angel Funding","20,00,000",2018-05-23,nan
272,Smartivity,Ed-tech,"Designer Of Toys and Learning Projects For Kids",Delhi,"Ashish Kacholi, S Chand Group","Seed/ Angel Funding","20,00,000",2018-05-24,nan
273,Bonphulapl,Clean-tech,"Oxygen Optimiser Manufacturer",Delhi,"Atul Gupta and Saurabh Rastogi","Seed/ Angel Funding","2,93,000",2018-05-24,nan
274,Acko,"Consumer Internet","Online Insurance Platform",Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.","Seed/ Angel Funding","1,20,00,000",2018-05-27,nan
275,HWell24,Healthcare,"Home Healthcare Aggregator",Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd","Seed/ Angel Funding","2,00,000",2018-05-28,nan
276,Toffee,"Consumer Internet","Online Insurance Platform",Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs","Seed/ Angel Funding","15,00,000",2018-05-29,nan
277,Tonetag,Technology,"Mobile Payments Technology Platform",Bengaluru,"Amazon Inc. and Mastercard","Private Equity","80,00,000",2018-05-29,nan
278,"Events High","Consumer Internet","Events and Activities Discovery Platform",Bengaluru,Treebo,"Private Equity",N/A,2018-05-30,nan
279,Stellaps,Technology,"Iot Application Platform In Agriculture",Bengaluru,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT","Private Equity","1,40,00,000",2018-05-30,nan
280,Credright,"Consumer Internet","Lending Platform For SMEs",Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors","Seed/ Angel Funding","13,000,00",2018-05-31,nan
281,Fitternity,"Consumer Internet","Online Fitness Discovey Platform",Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.","Private Equity","20,00,000",2018-04-02,nan
282,Synctag,Technology,"Social Media Anlaytics Platform",Coimbatore,"Subhkam Ventures and Mohit Khadaria","Seed / Angel Funding","3,07,600",2018-04-02,nan
283,Benepik,Technology,"Enhanced Employee Engagement Platform",Gurugram,"Vishal Bali, Yogesh Misra, Thomas Assessments and others","Seed / Angel Funding",N/A,2018-04-02,nan
284,Finzy,"Consumer Internet","Online Loan Matchmaking Platform",Bengaluru,N/A,"Seed / Angel Funding","13,00,000",2018-04-02,nan
285,Varthana,Finance,"Loans and Services To Affordable Private Schools in India",Bengaluru,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round","Private Equity","5,50,00,000",2018-04-04,nan
286,IndigoLearn,Ed-Tech,"Online Education Platform",Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels","Seed / Angel Funding","1,50,000",2018-04-05,nan
287,Vedantu,Ed-Tech,"Interactive Online Tutoring Platform",Bangalore,"Accel Partners, Tiger Global And Others","Private Equity","1,00,00,000",2018-04-05,nan
288,Kaleidofin,Fiinance,"Digital Financial Services Platform",Chennai,"Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim","Seed / Angel Funding","28,00,000",2018-04-09,nan
289,Pipabella,"Consumer Internet","Fashion Accessories Etailer",Mumbai,"Fireside Ventures","Seed / Angel Funding","1,000,000,",2018-04-09,nan
290,Elemential,Technology,"Blockchain Platform",Mumbai,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others","Seed / Angel Funding",N/A,2018-04-09,nan
291,"Kriger Campus",Ed-Tech,"Mobile-Based Education Network",Delhi,N/A,"Seed / Angel Funding","46,140",2018-04-09,nan
292,Loanzen,Finance,"Digital Lending Platform In Logistics",Bengaluru,"Kae Capital Management","Seed / Angel Funding",N/A,2018-04-10,nan
293,TravelTriangle,"Consumer Internet","Online Travel Marketplace",Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others","Private Equity","1,20,00,000",2018-04-10,nan
294,Letsmd,Healthcare,"Platform To Discover Healthcare Financing Options",Delhi,"SRI Capital, Waterbridge Ventures and ThinKuvate","Seed / Angel Funding","10,00,000",2018-04-12,nan
295,AyeFinance,Finance,"Online Lending Platform",Gurugram,"BlueOrchard Finance Ltd, Hinduja Leyland Finance and IntelleGrow","Debt Funding","46,000,00",2018-04-12,nan
296,mintifi,Finance,"Online Lending Platform",Mumbai,"Lok Capital","Seed / Angel Funding","20,00,000",2018-04-13,nan
297,icanstay,"Consumer Internet","Online Platform For Luxury Hotel Stay For Business Travelers",Delhi,"Mr. Manoj Prasad","Seed / Angel Funding","5,00,000",2018-04-16,nan
298,Pregbuddy,Healthcare,"Connected Care App For Pregnant Women",Bengaluru,"Rajan Anandan, Madhusudhan Kannan, Jayant Kadambi, Puneet Gupta and Pradeep K Jaisingh","Seed / Angel Funding",N/A,2018-04-16,nan
299,Coverfox,"Consumer Internet","Online Insurance Aggregator",Mumbai,"International Finance Corporation, Transamerica and others.","Private Equity","2,20,00,000",2018-04-18,nan
